"Sample_ID","Code","Sample_Date","Sample_Time","Gage_Ht","Temp","pH","Cond","Cl","NO3-N","SO4-S","Na","K","Mg","Ca","NH4-N","PO4-P","DOC","DIC","TDN","TDP","SiO2","DON","ChlorideCode","NitrateCode","SulfateCode","SodiumCode","PotassiumCode","MagnesiumCode","CalciumCode","NH4Code","PO4Code","DOCCode","DICCode","TDNCode","SiO2Code","DONCode","TSS"
"Q2",100013038,1987-06-16,1054,0.12,23,7.31,81.1,6.8,254,0.79,6.8,0.85,2.33,4.9,92,NA,0.66,6.9,NA,NA,28.6,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",5.8
"Q2",100013039,1987-06-23,1007,0.28,23,7.35,75.5,6.8,235,NA,6.37,0.82,2.18,4.3,94,NA,0.69,12.58,NA,NA,26.8,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",8.4
"Q2",100013041,1987-06-30,1010,0.18,23,7.37,84.4,7.3,226,NA,7.4,0.78,2.59,4.89,85,NA,0.92,8.97,NA,NA,30.4,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",5.05
"Q2",100013042,1987-07-07,959,0.14,23,7.34,84.5,7.4,250,NA,7.38,0.78,2.44,5.02,96,NA,0.84,8.54,NA,NA,30.5,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",5.25
"Q2",100013043,1987-07-14,959,0.1,23,7.36,89.7,7.6,216,NA,7.76,0.82,2.62,5.15,26,NA,0.52,8.77,NA,NA,32,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",4.4
"Q2",100013044,1987-07-21,1010,0.16,23,7.35,84.2,7.4,286,0.84,7.19,0.85,2.47,4.86,28,NA,2.65,6.17,NA,NA,28.7,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",18.5
"Q2",100013045,1987-07-28,1037,0.09,24,6.73,85.2,7.4,250,NA,7.7,0.77,2.54,5.13,38,NA,NA,6.13,NA,NA,32,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",3.95
"Q2",100013046,1987-08-04,900,0.06,24,7.17,89.6,7.4,223,NA,7.75,0.84,2.65,5.19,26,NA,NA,NA,NA,NA,32,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",5.45
"Q2",100013047,1987-08-11,739,0.06,23.5,7.16,93.1,7.4,173,0.89,7.92,0.83,2.83,5.35,43,NA,NA,6.56,NA,NA,32.3,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",15.5
"Q2",100013048,1987-08-18,1008,0.04,24,7.18,87.8,7.3,167,NA,7.66,0.87,2.65,4.9,29,NA,NA,6.77,NA,NA,32,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",2.75
"Q2",100013049,1987-08-25,910,0.06,24,7.21,83.8,7.3,101,NA,7.25,0.81,2.49,4.92,21,NA,NA,8.3,NA,NA,30.1,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",2.1
"Q2",100013050,1987-09-01,933,0.06,24,7.16,80.3,7,207,NA,7.03,0.84,2.47,4.71,22,NA,NA,9.04,NA,NA,30,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",2.36
"Q2",100013051,1987-09-08,1110,0.06,24,7.04,84.7,7.2,194,0.86,7.41,0.8,2.73,5.05,15,NA,NA,7.84,NA,NA,31.5,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",3.29
"Q2",100013052,1987-09-15,1022,0.08,24,7.08,81.4,7.2,201,NA,7.16,0.81,2.49,4.87,16,NA,NA,7.93,NA,NA,30.5,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",3.6
"Q2",100013053,1987-09-22,1007,0.08,24,7.07,84,7.3,279,NA,7.37,0.8,2.64,5.01,6,NA,NA,8.24,NA,NA,30.5,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",4.6
"Q2",100013054,1987-09-29,958,0.08,24,7.01,84.4,7.3,389,NA,7.27,0.84,2.57,5,14,NA,NA,7.37,NA,NA,29.1,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",6.56
"Q2",100013055,1987-10-05,NA,NA,NA,5.66,32.6,4.3,200,NA,2.69,0.94,0.79,2.16,62,NA,NA,NA,NA,NA,6.8,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",62.7
"Q2",100013056,1987-10-05,NA,NA,NA,5.9,30.4,3.9,293,NA,2.54,0.87,0.72,1.76,68,NA,NA,NA,NA,NA,6.6,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",57.7
"Q2",100013057,1987-10-05,NA,NA,NA,5.95,30.6,3.9,285,NA,2.59,0.92,0.66,1.77,48,NA,NA,NA,NA,NA,6.6,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",53
"Q2",100013058,1987-10-05,NA,NA,NA,6.04,31.2,4,296,NA,2.63,0.92,0.8,1.7,57,NA,NA,NA,NA,NA,7,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",47.7
"Q2",100013059,1987-10-06,1000,0.06,24,7.11,82.6,7.1,166,NA,7.23,0.91,1.21,1.99,10,NA,NA,8.9,NA,NA,30.4,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",2.2
"Q2",100013060,1987-10-13,1025,0.04,24,7.25,88.5,7.6,192,NA,7.37,0.84,2.68,5.13,17,NA,NA,9.06,NA,NA,31.5,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1.55
"Q2",100013061,1987-10-22,NA,0.2,NA,7.29,99,7.4,171,0.9,6.97,0.81,2.51,5.08,13,NA,NA,NA,NA,NA,29,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",19.91
"Q2",100013062,1987-10-29,1448,0.14,NA,NA,87.5,7.6,168,0.99,7.18,0.78,2.69,5.01,7,NA,NA,NA,NA,NA,29.2,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",85.33
"Q2",100013063,1987-11-05,1205,0.1,NA,7.51,86.9,6.5,177,1.25,6.31,0.89,2.31,4.85,7,NA,NA,NA,NA,NA,25.4,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",31.7
"Q2",100013064,1987-11-12,NA,NA,NA,7.45,89.1,7.1,200,0.9,7.46,0.89,2.71,5.5,27,NA,NA,NA,NA,NA,31.8,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",56.4
"Q2",100013065,1987-11-24,1054,0.18,NA,6.22,61.3,6.1,136,0.76,5.15,0.95,1.71,3.61,11,NA,NA,NA,NA,NA,21.2,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",8.8
"Q2",100013066,1987-11-25,1051,0.24,NA,7.34,66.6,5.8,275,0.81,4.97,0.93,1.66,3.67,7,NA,NA,NA,NA,NA,19.6,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",15.6
"Q2",100013067,1987-12-01,1030,0.25,NA,7.47,75.2,7.3,217,0.8,6.37,0.81,2.38,4.86,7,NA,NA,NA,NA,NA,30.4,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",8.3
