"Sample_ID","Code","Sample_Date","Sample_Time","Gage_Ht","Temp","pH","Cond","Cl","NO3-N","SO4-S","Na","K","Mg","Ca","NH4-N","PO4-P","DOC","DIC","TDN","TDP","SiO2","DON","ChlorideCode","NitrateCode","SulfateCode","SodiumCode","PotassiumCode","MagnesiumCode","CalciumCode","NH4Code","PO4Code","DOCCode","DICCode","TDNCode","SiO2Code","DONCode","TSS"
"MG",20702000,1998-05-12,NA,NA,NA,NA,NA,15.73,70,1.61,11.48,0.79,3.32,7.82,6,NA,0.76,NA,0.12,NA,24.64,0.04,"NA","NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA",NA
"MG",20711000,1998-05-19,NA,NA,NA,NA,NA,9.16,73,1.31,7.72,0.71,2.64,8.81,7,NA,0.79,NA,0.13,NA,24.03,0.05,"NA","NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA",NA
"MG",20727000,1998-05-26,NA,NA,NA,NA,NA,NA,127,1.78,15.71,1.31,2.92,6.77,21,15,3.44,NA,0.4,NA,14.08,0.25,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"MG",20736000,1998-06-02,NA,NA,NA,NA,NA,9.92,186,1.36,7.66,0.86,2.83,7.96,9,8,1.1,NA,0.29,NA,21.44,0.1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"MG",20737000,1998-06-09,NA,NA,NA,NA,NA,9.69,98,1.23,7.8,0.82,2.95,8.66,10,NA,1.39,NA,0.27,NA,24.35,0.16,"NA","NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA",NA
"MG",20742000,1998-06-23,NA,NA,NA,NA,NA,10.6,90,1.36,8.53,0.85,3.36,12.7,6,NA,1.05,NA,0.19,NA,24.74,0.09,"NA","NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA",NA
"MG",20755000,1998-06-30,NA,NA,NA,NA,NA,NA,62,3.05,28.64,1.45,5.95,17.45,7,NA,1.11,NA,0.19,NA,26.3,0.12,"NA","NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA",NA
"MG",22500000,1998-07-07,NA,NA,NA,NA,NA,12.1,59,1.39,9.19,1.3,3.49,12.62,9,NA,1.07,NA,0.24,NA,25.79,0.17,"NA","NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA",NA
"MG",22545000,1998-07-07,NA,NA,NA,NA,NA,13,119,1.61,9.79,0.93,3.31,8.1,9,NA,1.82,NA,0.25,NA,23.23,0.12,"NA","NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA",NA
"MG",22536000,1998-07-07,NA,NA,NA,NA,NA,10.93,5,0.93,8.36,0.84,2.58,6.29,NA,NA,1.42,NA,0.09,NA,27.67,0.09,"NA","NA","NA","NA","NA","NA","NA","BDL","BDL","NA","NA","NA","NA","NA",NA
"MG",22501000,1998-07-07,NA,NA,NA,NA,NA,12.18,52,1.42,9.6,1.44,3.68,15.42,6,13,1.92,NA,0.33,NA,20.87,0.27,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"MG",22553000,1998-07-14,NA,NA,NA,NA,NA,8.93,98,1.29,6.9,0.76,2.2,7.31,6,NA,0.74,NA,0.16,NA,26.64,0.06,"NA","NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA",NA
"MG",22563000,1998-07-21,NA,NA,NA,NA,NA,9.31,116,1.23,6.41,0.79,2.22,9.67,7,10,2.71,NA,0.26,NA,17.03,0.14,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"MG",22570000,1998-07-28,NA,NA,NA,NA,NA,11.94,84,1.36,9.38,0.86,3.09,8.57,11,NA,1.36,NA,0.18,NA,23.65,0.09,"NA","NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA",NA
"MG",22583000,1998-08-04,NA,NA,NA,NA,NA,10.8,65,1.38,9.34,1.01,3.58,8.2,8,NA,0.87,NA,0.12,NA,26.94,0.04,"NA","NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA",NA
"MG",22596000,1998-08-06,NA,NA,NA,NA,NA,12.01,110,0.96,9.75,0.91,3.3,5.28,13,NA,1.44,NA,0.23,NA,32.48,0.11,"NA","NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA",NA
"MG",22609000,1998-08-11,NA,NA,NA,NA,NA,10.48,63,1.3,8.25,0.78,2.85,8.77,NA,NA,1.22,NA,0.17,NA,22.9,0.1,"NA","NA","NA","NA","NA","NA","NA","BDL","BDL","NA","NA","NA","NA","NA",NA
"MG",22484000,1998-08-18,NA,NA,NA,NA,NA,8.63,116,1.13,6.36,0.69,2.17,7.96,11,NA,2.85,NA,0.28,NA,16.93,0.15,"NA","NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA",NA
"MG",22476000,1998-08-25,NA,NA,NA,NA,NA,6.25,125,0.86,4.6,0.77,1.25,5.05,15,14,3.05,NA,0.33,NA,10.31,0.19,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"MG",22470000,1998-09-01,NA,NA,NA,NA,NA,9.85,94,1.24,7.85,0.82,2.96,9.97,11,6,1.13,NA,0.2,NA,24.25,0.09,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"MG",22463000,1998-09-08,NA,NA,NA,NA,NA,8.79,162,1.2,6.73,1.05,2.47,8.99,25,19,2.34,NA,0.35,NA,16.22,0.16,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"MG",22454000,1998-09-15,NA,NA,NA,NA,NA,8.7,104,1.15,7.07,0.82,2.59,11.26,8,7,1.64,NA,0.23,NA,21.05,0.12,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"MG",22443000,1998-09-26,NA,NA,NA,NA,NA,13.23,52,1.44,9.35,1.51,3.28,13.17,24,7,1.62,NA,0.24,NA,25.87,0.16,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"MG",22506000,1998-10-03,NA,NA,NA,NA,NA,11.72,19,1.38,9.3,1.43,3.53,14.9,NA,NA,1.25,NA,0.12,NA,22.16,0.1,"NA","NA","NA","NA","NA","NA","NA","BDL","BDL","NA","NA","NA","NA","NA",NA
"MG",22513000,1998-10-06,NA,NA,NA,NA,NA,12.99,70,1.48,9.58,1.38,3.67,13.74,NA,NA,1.38,NA,0.23,NA,26.1,0.15,"NA","NA","NA","NA","NA","NA","NA","BDL","BDL","NA","NA","NA","NA","NA",NA
"MG",22524000,1998-10-09,NA,NA,NA,NA,NA,16.39,235,1.96,10.48,2.08,3.96,15.75,13,NA,2.07,NA,0.47,NA,23.78,0.23,"NA","NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA",NA
"MG",22529000,1998-10-13,NA,NA,NA,NA,NA,16.89,172,2.41,10.56,1.94,3.95,16.51,9,NA,2.16,NA,0.42,NA,22.21,0.24,"NA","NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA",NA
"MG",22713000,1998-10-16,NA,NA,NA,NA,NA,13.36,155,1.54,8.98,1.63,2.96,11.73,NA,17,3.28,NA,0.38,NA,21.92,0.22,"NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA","NA",NA
"MG",22723000,1998-10-20,NA,NA,NA,NA,NA,16.69,753,2.01,9.29,2,3.21,13.55,7,9,2.75,NA,0.95,NA,20.52,0.19,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"MG",22735000,1998-10-27,NA,NA,NA,NA,NA,11.06,586,1.4,7.66,1.66,2.47,10.19,15,11,2.43,NA,0.78,NA,16.28,0.18,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"MG",22748000,1998-11-03,NA,NA,NA,NA,NA,11.55,779,1.43,7.9,1.56,2.6,10.39,8,8,2.79,NA,0.94,NA,16.01,0.15,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"MG",22767000,1998-11-17,NA,NA,NA,NA,NA,11.36,264,1.29,8.61,1.24,3.06,12.49,9,10,1.13,NA,0.46,NA,23.13,0.18,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
