"Sample_ID","Code","Sample_Date","Sample_Time","Gage_Ht","Temp","pH","Cond","Cl","NO3-N","SO4-S","Na","K","Mg","Ca","NH4-N","PO4-P","DOC","DIC","TDN","TDP","SiO2","DON","ChlorideCode","NitrateCode","SulfateCode","SodiumCode","PotassiumCode","MagnesiumCode","CalciumCode","NH4Code","PO4Code","DOCCode","DICCode","TDNCode","SiO2Code","DONCode","TSS"
"MPR",2602,1990-02-27,1016,1.56,NA,6.63,82.3,10.66,250,0.65,6.65,1.02,2.18,NA,NA,NA,NA,NA,0.2,NA,9.52,NA,"NA","NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA",NA
"MPR",2612,1990-03-06,1031,1.26,NA,7.44,108.5,9.02,160,0.63,7.27,1.06,2.44,9.99,NA,NA,NA,NA,0.3,NA,10.86,NA,"NA","NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA",NA
"MPR",2627,1990-03-13,1053,3.8,NA,6.77,63.2,9.61,333,0.92,5.24,1.17,1,3.84,NA,NA,NA,NA,NA,NA,3.34,NA,"NA","NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","BDL","NA","NA",NA
"MPR",2660,1990-03-20,1020,1.74,NA,7.21,98.4,9.43,226,1.1,6.7,0.95,2.21,8.49,NA,NA,NA,NA,NA,NA,9.92,NA,"NA","NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","BDL","NA","NA",NA
"MPR",2671,1990-03-27,NA,NA,NA,NA,NA,10.1,336,1.06,5.92,1.19,1.62,5.46,NA,NA,NA,NA,NA,NA,6.04,NA,"NA","NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA",NA
"MPR",2737,1990-04-03,942,1.66,NA,7.54,99.1,NA,123,1.22,6.49,0.93,2.15,8.32,NA,NA,1.29,NA,NA,NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"MPR",2939,1990-04-10,954,1.56,NA,7.53,108.9,NA,124,1.4,7.33,1,2.42,10.45,NA,NA,0.63,NA,0.5,NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA",1.5
"MPR",2993,1990-04-17,959,1.52,NA,7.25,104.4,NA,130,1.25,6.3,0.99,2.16,9.07,NA,NA,1.21,NA,0.75,NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA",1.73
"MPR",3003,1990-04-24,NA,NA,NA,NA,NA,NA,10,NA,6.57,0.99,2.41,10.48,NA,NA,1.01,NA,NA,NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA",1.92
"MPR",3034,1990-05-01,1005,1.84,NA,7.28,98.6,NA,183,1.62,6.36,1.01,2.14,8.95,NA,NA,0.89,NA,0.73,NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA",1.04
