"Sample_ID","Code","Sample_Date","Sample_Time","Gage_Ht","Temp","pH","Cond","Cl","NO3-N","SO4-S","Na","K","Mg","Ca","NH4-N","PO4-P","DOC","DIC","TDN","TDP","SiO2","DON","ChlorideCode","NitrateCode","SulfateCode","SodiumCode","PotassiumCode","MagnesiumCode","CalciumCode","NH4Code","PO4Code","DOCCode","DICCode","TDNCode","SiO2Code","DONCode","TSS"
"QP",21050,2000-05-16,843,1.34,21,7.37,71.3,8.62,39,0.59,6.23,0.37,2.92,4.55,NA,10,1.05,NA,0.1,NA,19.4,0.05,"NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA","NA",5.3
"QP",21069,2000-05-23,905,1.31,21,7.29,82.4,7.91,36,0.51,6.56,0.42,2.98,4.5,NA,6,0.9,NA,0.08,NA,21.53,0.04,"NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA","NA",6.9
"QP",21075,2000-05-30,NA,NA,NA,NA,NA,6.1,65,0.65,4.38,0.4,1.45,1.85,11,5,4.77,NA,0.25,NA,6.86,0.18,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",85.43
"QP",21094,2000-06-06,900,1.32,21,7.46,83,8.36,38,0.49,6.29,0.28,3.52,4.55,6,8,1,NA,0.1,NA,21.26,0.06,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",7.57
"QP",21100,2000-06-13,905,1.46,21.5,7.35,63.5,7.49,57,0.62,5.33,0.38,2.43,3.55,6,5,2.13,NA,0.16,NA,13.79,0.1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",13.23
"QP",21106,2000-06-20,848,1.36,22,7.41,79.6,7.93,39,0.26,6.51,0.36,3.49,4.44,9,8,1.08,NA,0.12,NA,20.42,0.08,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",6.3
"QP",21111,2000-06-27,855,1.4,22,7.36,69.9,8.08,51,0.64,6.13,0.49,2.99,3.7,6,8,2.1,NA,0.13,NA,17.49,0.08,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",4.35
"QP",21118,2000-07-05,1020,1.33,22.5,7.46,89.1,7.95,98,0.5,6.26,0.34,3.65,4.63,NA,10,0.82,NA,0.17,NA,21.88,0.07,"NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA","NA",9.8
"QP",21124,2000-07-11,914,1.28,22.8,7.38,87.7,8.15,60,0.25,6.96,0.37,3.65,4.7,8,7,0.92,NA,0.13,NA,21.6,0.06,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",6.6
"QP",21130,2000-07-18,1020,1.28,22.8,7.45,87.4,8.85,58,0.51,6.89,0.51,3.77,4.77,6,NA,1.07,NA,0.11,NA,21.48,0.04,"NA","NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA",7.4
"QP",21136,2000-07-25,1040,1.38,23,7.5,85.2,8.55,62,0.54,6.47,0.33,3.75,4.73,10,9,2.03,NA,0.19,NA,19.29,0.11,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",15.17
"QP",21142,2000-08-01,1020,1.46,22.5,7.38,75.3,8.26,34,0.48,5.62,0.37,3.12,4.08,NA,NA,2.46,NA,0.17,NA,17.09,0.13,"NA","NA","NA","NA","NA","NA","NA","BDL","BDL","NA","NA","NA","NA","NA",11.09
"QP",21148,2000-08-08,850,1.4,22.5,7.51,76.3,9.6,54,0.55,6.11,0.47,3.08,3.83,9,7,1.78,NA,0.12,NA,18.91,0.06,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",11.68
"QP",21154,2000-08-15,915,1.46,22,7.45,66.3,7.76,65,0.6,5.41,0.4,2.49,3.3,7,9,2.52,NA,0.18,NA,16.22,0.1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",14.17
"QP",21160,2000-08-22,920,1.3,23,7.61,84.7,8.59,76,0.48,6.68,0.46,3.66,4.71,8,9,0.88,NA,0.13,NA,21.72,0.04,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",7.17
"QP",21166,2000-08-29,NA,NA,NA,NA,NA,7.75,42,0.54,5.57,0.35,2.71,3.42,6,12,1.49,NA,0.11,NA,17.82,0.07,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",7.9
"QP",21187,2000-09-05,NA,NA,NA,NA,NA,8.38,53,0.45,6.34,0.39,3.29,4.26,5,9,0.82,NA,0.12,NA,21.06,0.06,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",5.59
"QP",21193,2000-09-12,900,1.36,23.5,7.47,78,7.73,49,0.49,6.37,0.38,2.98,3.88,5,9,1.59,NA,0.1,NA,20.1,0.05,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",7.4
"QP",21199,2000-09-19,900,1.5,23,7.39,64.6,7.57,52,0.53,5.87,0.42,2.41,3.31,6,6,2.05,NA,0.14,NA,16.21,0.08,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",9.38
"QP",21205,2000-09-26,905,1.34,23,7.42,73.3,7.78,59,0.44,6.39,0.4,3.15,4.07,NA,8,1.08,NA,0.1,NA,20.95,0.04,"NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA","NA",7.5
"QP",21226,2000-10-03,850,1.47,22.5,7.3,62.3,6.62,79,0.5,5.36,0.36,2.4,2.95,5,7,2.08,NA,0.17,NA,16.19,0.08,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",12.28
"QP",21239,2000-10-10,905,1.32,23,7.46,80.2,6.2,115,0.55,4.66,0.43,1.47,2.5,5,5,1.45,NA,0.13,NA,12.19,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","BDL",1.18
"QP",21252,2000-10-17,910,1.3,22.5,7.56,86.4,10.6,108,0.61,8.29,0.44,2.64,4.27,9,11,0.67,NA,NA,NA,22.75,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",6.2
"QP",21265,2000-10-24,915,1.29,22,7.48,82.2,7.46,85,0.5,6.69,0.43,3.48,4.55,NA,9,1.56,NA,0.14,NA,21.67,0.05,"NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA","NA",8.77
"QP",21278,2000-10-31,915,1.27,23,7.48,86.6,7.76,85,0.47,6.84,0.41,3.59,4.19,6,7,0.78,NA,0.14,NA,22.51,0.05,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",9.17
"QP",21291,2000-11-07,705,1.2,21,7.46,84.1,7.54,79,0.45,6.3,0.4,3.22,3.94,NA,10,1.05,NA,0.16,NA,20.54,0.08,"NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA","NA",3.8
"QP",21304,2000-11-14,910,1.3,21.5,7.48,82.8,7.7,86,0.43,6.44,0.4,3.28,4.24,8,12,1.16,NA,NA,NA,21.51,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"QP",21317,2000-11-21,930,1.42,21.1,7.25,67.7,7.47,92,0.58,5.7,0.46,2.83,3.54,12,11,1.82,NA,0.15,NA,17.6,0.05,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",15.58
"QP",21340,2000-11-28,1021,1.42,22,7.35,65.1,6.94,69,0.54,6.74,0.33,2.74,3.61,6,NA,1.62,NA,NA,NA,16.74,NA,"NA","NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA",4.59
"QP",21353,2000-12-05,900,1.3,21.5,7.42,81.6,8.28,96,0.5,6.79,0.52,3.49,4.12,63,26,0.7,NA,0.16,NA,20.84,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","BDL",10.4
"QP",21366,2000-12-12,900,1.4,19,7.39,79.5,9.2,94,0.58,6.28,0.47,3.4,4.23,5,11,1.95,NA,0.18,NA,19.4,0.08,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",15.4
"QP",21394,2000-12-19,730,NA,18.5,7.31,68.6,8.31,79,0.52,5.99,0.4,2.6,3.49,8,11,1.43,NA,0.12,NA,16.14,0.03,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",9.24
"QP",21407,2000-12-26,735,1.36,18.5,7.71,79.7,8.79,96,0.76,6.43,1.38,3.48,4.14,12,13,0.94,NA,0.13,NA,19.96,0.02,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",6
"QP",21420,2001-01-02,720,1.28,18.5,7.74,87.9,11.34,140,0.55,8.45,0.32,3.92,4.28,NA,NA,1.39,NA,0.21,NA,4.44,0.07,"NA","NA","NA","NA","NA","NA","NA","BDL","BDL","NA","NA","NA","NA","NA",34.75
"QP",21433,2001-01-09,920,1.26,18.5,7.53,87.8,8.46,78,0.43,8.13,0.37,3.74,4.39,8,7,0.71,NA,0.14,NA,22.83,0.05,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",8.43
"QP",21446,2001-01-16,915,1.26,18,7.55,88.8,8.35,94,0.39,6.97,0.4,3.72,4.53,NA,17,2.15,NA,0.22,NA,21.8,0.12,"NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA","NA",12.33
"QP",21459,2001-01-23,850,1.24,18,7.53,90.2,8.43,81,0.46,7.26,0.39,4.31,5.26,10,13,0.76,NA,0.19,NA,22.93,0.1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",9.69
"QP",21472,2001-01-30,905,1.48,17,7.24,58.6,7.76,126,0.6,5.35,0.36,2.14,2.66,10,9,1.92,NA,0.18,NA,12.88,0.04,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",14.8
"QP",21485,2001-02-06,920,1.32,18.5,7.43,83,8.58,70,0.48,6.91,0.4,3.52,4.39,9,14,1.02,NA,0.13,NA,21.03,0.05,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",13.83
"QP",21498,2001-02-13,900,1.34,18,7.33,72.1,8.94,66,0.52,6.13,0.44,2.7,3.39,8,16,1.21,NA,0.12,NA,17.32,0.05,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",10.91
"QP",21511,2001-02-20,910,1.45,18,7.37,70.1,8.59,61,0.55,6.64,0.37,2.87,3.48,9,9,2.04,NA,0.17,NA,19.82,0.1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",19.09
"QP",21524,2001-02-27,930,1.32,17,7.02,77.1,8.39,72,0.47,6.38,0.34,3.16,3.84,7,20,0.88,NA,0.12,NA,18.21,0.04,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",8.57
"QP",21567,2001-03-06,910,1.26,18.5,7.44,85,8.38,66,0.43,8.02,0.36,3.56,4.22,8,5,0.69,NA,0.1,NA,20.21,0.03,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",5.4
"QP",21580,2001-03-13,910,1.24,18.5,7.49,90,8.48,67,0.42,8.29,0.38,3.98,5.21,NA,6,0.72,NA,0.1,NA,21.14,0.03,"NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA","NA",6.56
